target_id	length	eff_length	est_counts	tpm
YCR075C	783	604	52	41.9959
YHR147C	645	466	59	61.7598
YPR012W	255	76.0064	4	25.6714
YJR074W	657	478	94	95.9268
YOR048C	3021	2842	173	29.6935
YPL162C	822	643	44	33.3796
YHL041W	450	271	1	1.79999
YNL295W	1575	1396	46	16.0736
YLR204W	336	157	78	242.346
YHR025W	1074	895	358	195.119
YGL239C	315	136	3	10.7603
YLR339C	552	373	370.663	484.742
YNL254C	1206	1027	14	6.64963
YAL027W	786	607	36	28.9304
YBR132C	1791	1612	86	26.024
YML027W	1158	979	33	16.4426
YMR213W	1773	1594	78	23.8697
YAR009C	3591	3412	63.5916	9.0914
YBR152W	876	697	30	20.9956
YOR045W	186	19.0638	23	588.516
YDR125C	1362	1183	7	2.88638
YDR211W	2139	1960	195	48.5309
YPL169C	1800	1621	108	32.4998
YOL038W	765	586	484	402.891
YLL046C	750	571	0	0
YKR006C	795	616	59	46.7209
YGL073W	2502	2323	238.201	50.019
YER028C	1185	1006	47	22.7898
YPL200W	471	292	0	0
YPL282C	495	316	0.598374	0.923689
YML045W	5268	5089	82.6485	7.92214
YPL271W	189	20.4424	20	477.242
YDR370C	1329	1150	38	16.1185
YDR354W	1143	964	177	89.5646
YER015W	2235	2056	34	8.0667
YPL055C	999	820	120	71.3851
YDR240C	1479	1300	22	8.25504
YDR331W	1236	1057	58	26.7666
YCL042W	360	181	13	35.0352
YDL237W	1173	994	134	65.7595
YBR302C	1140	961	140.837	71.4883
YLL029W	2250	2071	301	70.8968
YJL163C	1668	1489	114	37.3465
YDL137W	546	367	537	713.753
YBL109W	336	157	0	0
YBR254C	528	349	22	30.7494
YPL073C	486	307	1.87214	2.97467
YDR025W	471	292	1263.13	2110.12
YNL055C	852	673	820	594.345
YMR033W	1404	1225	111	44.2005
YFR029W	2037	1858	76	19.953
YGR092W	1719	1540	79	25.0234
YBR040W	897	718	0	0
YLR063W	1098	919	4	2.12317
YNL147W	348	169	63	181.842
YJL132W	2253	2074	52	12.2302
YJL222W-B	138	7.80511	0	0
YPR022C	3402	3223	86	13.016
YDR238C	2922	2743	413	73.4453
YIR022W	504	325	138	207.127
YBR286W	1614	1435	1381	469.442
YER169W	2391	2212	61	13.4519
YHR158C	3495	3316	182	26.773
YNL042W-B	258	79.0036	0	0
YEL019C	804	625	5	3.90238
YOR029W	336	157	0	0
YKL196C	603	424	224	257.705
YKR068C	582	403	78	94.4125
YAL059W	639	460	18	19.0877
YDR014W-A	489	310	0	0
YPL114W	420	241	20.1218	40.7278
YIL105W-A	141	8.14747	0	0
YBR168W	1242	1063	45	20.65
YBR226C	411	232	16	33.6412
YDR150W	8247	8068	226	13.6641
YIL134C-A	204	29.2345	1	16.6857
YKL081W	1239	1060	1356	624.013
YJL135W	318	139	0	0
YML101C-A	318	139	6.83196	23.9756
YPR119W	1476	1297	28	10.5307
YBR006W	1494	1315	101	37.4659
YBL011W	2280	2101	287.09	66.655
YPR118W	1236	1057	228	105.22
YOR189W	351	172	49	138.966
YPL238C	390	211	46.6703	107.894
YKR096W	3588	3409	150	21.4637
YDL062W	426	247	0	0
YOR292C	930	751	50	32.4766
YOR015W	360	181	46	123.971
YOR341W	4995	4816	223	22.587
YDL097C	1305	1126	474	205.343
YMR287C	2910	2731	36	6.43015
YLR082C	1179	1000	32	15.6095
YER040W	2193	2014	79	19.1341
YML056C	1575	1396	590.206	206.233
YMR153C-A	336	157	12.0033	37.294
YLR223C	3258	3079	58	9.18879
YGR277C	918	739	68	44.8853
YPL242C	4488	4309	102	11.5469
YML034W	2505	2326	118.607	24.8736
YAL040C	1743	1564	108	33.6843
YKL119C	648	469	45	46.8036
YJR094C	1083	904	27	14.5692
YHL002C-A	489	310	8.20368	12.9088
YMR277W	2199	2020	135	32.6004
YNL310C	525	346	36	50.7535
YLR376C	729	550	26	23.0595
YJR104C	465	286	1660	2831.28
YLR180W	1149	970	495.509	249.184
YOR064C	660	481	35	35.4947
YGL044C	891	712	79	54.1237
YNL276C	396	217	2.08386	4.68434
YHR113W	1473	1294	186	70.1163
YDL188C	1134	955	150.154	76.696
YGL031C	468	289	915.156	1544.68
YOL139C	642	463	450	474.102
YBR123C	1950	1771	98	26.9928
YDL246C	1074	895	25.5	13.8982
YHL018W	363	184	3	7.95323
YDR332W	2070	1891	52	13.4138
YDR294C	1770	1591	249	76.343
YDR207C	2511	2332	122	25.5194
YDR355C	303	124	1	3.93385
